camera_uuid,camera_code,name,department_id,department_name,district,health_status,lifecycle,stream_url,latitude,longitude,location_geom,created_at,location_geog
35c3b7b0-c885-4861-bb69-ce9f1d1d7b34,CAM-GJ-AHM-000014,Ahmedabad Junction-14 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000014,23.001926,72.599521,0101000020E6100000F910548D5E2652401903EB387E003740,2026-08-22 07:55:47.490062+00:00,0101000020E6100000F910548D5E2652401903EB387E003740
b925c30f-c541-4990-af5f-9636bae172fe,CAM-GJ-AHM-000015,Ahmedabad Junction-15 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000015,23.030379,72.611273,0101000020E610000061FBC9181F275240357C0BEBC6073740,2026-08-22 07:55:47.490062+00:00,0101000020E610000061FBC9181F275240357C0BEBC6073740
eaf7cfd9-96e2-49c2-9189-3fa3f8263df2,CAM-GJ-AHM-000029,Ahmedabad Junction-29 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000029,23.090177,72.643397,0101000020E61000000C569C6A2D295240F5D901D715173740,2026-08-22 07:55:47.490062+00:00,0101000020E61000000C569C6A2D295240F5D901D715173740
31e8ce4d-3612-4b59-9a1c-0a8afa82f7e9,CAM-GJ-AHM-000041,Ahmedabad Junction-41 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000041,22.988893,72.508649,0101000020E6100000290989B48D2052404B3E761728FD3640,2026-08-22 07:55:47.490062+00:00,0101000020E6100000290989B48D2052404B3E761728FD3640
bbcd81f0-66ca-4941-9f3e-164b4b66463a,CAM-GJ-AHM-000060,Ahmedabad Junction-60 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000060,23.060568,72.695921,0101000020E610000060E63BF8892C5240232F6B62810F3740,2026-08-22 07:55:47.490062+00:00,0101000020E610000060E63BF8892C5240232F6B62810F3740
4e4f981c-6b03-4a21-b69f-6add8f860c83,CAM-GJ-AHM-000072,Ahmedabad Junction-72 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000072,23.057883,72.45196,0101000020E610000069C6A2E9EC1C52408FFE976BD10E3740,2026-08-22 07:55:47.490062+00:00,0101000020E610000069C6A2E9EC1C52408FFE976BD10E3740
7b728565-42f1-4010-98f0-af99d2f384b1,CAM-GJ-AHM-000080,Ahmedabad Junction-80 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000080,22.920354,72.486114,0101000020E61000002D08E57D1C1F524027BEDA519CEB3640,2026-08-22 07:55:47.490062+00:00,0101000020E61000002D08E57D1C1F524027BEDA519CEB3640
fa9706ac-4322-4130-8b8b-a6a5fdd2e853,CAM-GJ-AHM-000096,Ahmedabad Junction-96 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000096,22.970894,72.690764,0101000020E61000004450357A352C5240F4E159828CF83640,2026-08-22 07:55:47.490062+00:00,0101000020E61000004450357A352C5240F4E159828CF83640
84b83add-1592-47ce-89b2-32cd0b96732a,CAM-GJ-AHM-000100,Ahmedabad Junction-100 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000100,23.049601,72.613513,0101000020E6100000EFAA07CC4327524051D9B0A6B20C3740,2026-08-22 07:55:47.490062+00:00,0101000020E6100000EFAA07CC4327524051D9B0A6B20C3740
7c7130f5-2637-4bb9-b168-9732aff3d4ef,CAM-GJ-AHM-000116,Ahmedabad Junction-116 CCTV,DEPT-POL-01,Gujarat Police Department,Ahmedabad,ONLINE,ACTIVE,rtsp://stream.sdc.gujarat.gov.in:554/live/CAM-GJ-AHM-000116,22.909606,72.54464,0101000020E6100000FB05BB61DB225240D13E56F0DBE83640,2026-08-22 07:55:47.490062+00:00,0101000020E6100000FB05BB61DB225240D13E56F0DBE83640
