ID,Received At,Severity,Category,Plate Number,Camera ID,Camera Code,Camera Name,District,Watchlist Hit,Status,Title,Notes
anpr-ingest-2c2c2c5f,2026-09-01 13:26:26.267960+00:00,INFO,ANPR_DETECTION,GJ1CA7551,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ1CA7551,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-e8acc2fc,2026-09-01 13:26:23.790548+00:00,INFO,ANPR_DETECTION,GJ11C1739,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ11C1739,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-711dbac2,2026-09-01 13:26:23.783984+00:00,INFO,ANPR_DETECTION,GJ1UCD759,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ1UCD759,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-ecc6e61b,2026-09-01 13:26:23.593289+00:00,INFO,ANPR_DETECTION,GJ11CD739,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ11CD739,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-29523593,2026-09-01 13:26:23.524054+00:00,INFO,ANPR_DETECTION,GJ18GB3408,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ18GB3408,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-97c8b7da,2026-09-01 13:26:23.446872+00:00,INFO,ANPR_DETECTION,GJ18GB3400,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ18GB3400,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-20559c1d,2026-09-01 13:26:23.297885+00:00,INFO,ANPR_DETECTION,GJ11C179,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ11C179,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-fa4efe3f,2026-09-01 13:26:23.222748+00:00,INFO,ANPR_DETECTION,GJ1GB3408,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ1GB3408,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-b4d05f5c,2026-09-01 13:26:20.551975+00:00,INFO,ANPR_DETECTION,GJ11CA7,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ11CA7,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
anpr-ingest-c265b8c7,2026-09-01 13:26:20.445169+00:00,INFO,ANPR_DETECTION,GJ11GA7,6,,,Ahmedabad,False,NEW,📷 ANPR Detection: GJ11GA7,"Detected at Ahmedabad S.G. Highway Gate-6 (23.0225, 72.5714). Watchlist Hit: False"
